episode,step,agent_type,mode,state,crash,agent_0_pos,agent_0_action,agent_1_pos,agent_1_action,agent_2_pos,agent_2_action,agent_3_pos,agent_3_action,agent_0_reward,agent_1_reward,agent_2_reward,agent_3_reward
0,0,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5
0,1,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,1,0,0,0,1,-0.5,-100.0,-0.5,-100.0
1,0,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,1,0,0,0,1,-0.5,-100.0,-0.5,-100.0
2,0,wolf,pure,"(0, 0, 0, 0)",False,0,1,0,1,0,1,0,0,-100.0,-100.0,-200.0,-0.5
3,0,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,1,0,0,0,0,-0.5,0.0,-0.5,-0.5
3,1,wolf,pure,"(0, 1, 0, 0)",False,0,1,1,1,0,0,0,1,-100.0,20.0,-0.5,-100.0
4,0,wolf,pure,"(0, 0, 0, 0)",False,0,1,0,1,0,1,0,0,-100.0,-100.0,-200.0,-0.5
5,0,wolf,pure,"(0, 0, 0, 0)",False,0,1,0,0,0,1,0,0,-100.0,-0.5,-100.0,-0.5
6,0,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,0,0,0,0,1,-0.5,-0.5,-0.5,0.0
6,1,wolf,pure,"(0, 0, 0, 1)",False,0,0,0,0,0,1,1,0,-0.5,-0.5,0.0,-0.5
6,2,wolf,pure,"(0, 0, 1, 1)",False,0,0,0,0,1,0,1,0,-0.5,-0.5,-0.5,-0.5
6,3,wolf,pure,"(0, 0, 1, 1)",False,0,1,0,0,1,1,1,0,-100.0,-0.5,20.0,-100.5
7,0,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,1,0,0,0,1,-0.5,-100.0,-0.5,-100.0
8,0,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,1,0,0,0,0,-0.5,0.0,-0.5,-0.5
8,1,wolf,pure,"(0, 1, 0, 0)",False,0,0,1,0,0,0,0,1,-0.5,-100.5,-0.5,-100.0
9,0,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5
9,1,wolf,pure,"(0, 0, 0, 0)",False,0,1,0,0,0,0,0,1,-100.0,-0.5,-0.5,-100.0
10,0,wolf,pure,"(0, 0, 0, 0)",False,0,1,0,0,0,1,0,0,-100.0,-0.5,-100.0,-0.5
11,0,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,1,0,1,0,0,-0.5,-100.0,-100.0,-0.5
12,0,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,1,0,1,0,0,-0.5,-100.0,-100.0,-0.5
13,0,wolf,pure,"(0, 0, 0, 0)",False,0,1,0,1,0,0,0,0,0.0,0.0,-0.5,-0.5
